Papers
paper id;first name;last name;institution;track;title
251;HangJin;Jo;POSTECH;22;Pool boiling on hydrophilic and hydrophobic nano/microstructure with different wetting surfaces
254;Angela;Weier;University of Wisconsin;2;Planar Brachytherapy
255;Branden;Passons;United States Military Academy;2;
253;Ram;Anand Vadlamani;Purdue University;22;An Experimental Study of Subcooled Choked Flow Through Simulated Steam Generator Tube Cracks
256;Dallin;Steele;Idaho State University;12;Photonic Crystal Design for an In-Pile Real-Time Sensor
260;David;Frazer;University of California, Berkeley;11;Nano/micro scale characterization of SiC/SiC composite materials
263;Hee;Eun Kim;KAIST;15;AN APPROACH TO EVALUATE THE SAFETY NETWORK COMMUNICATION RELIABILITY
264;Boris;Hombourger;EPFL/PSI;20;Study of a closed Thorium-232 fuel cycle Molten Salt Reactor core in different spectra
265;Daniel;Abercrombie;The Pennsylvania State University;20;Development of a Deterministic Multi-Group Diffusion Code for a Molten Salt Reactor
266;Gregory;Moffitt;University of Utah;2;MCNP5 Based Neutron Source Modeling for BNCT
267;Aaron;Horwood;United States Military Academy;19;Unmanned Lighter-Than-Air Vehicle For Remote Radiological Survey
268;sandra;bogetic; Eidgenössische Technische Hochschule Zürich;20;COMPARISON OF U.S NRC PARCS AGAINST STUDSVIK SIMULATE-3 CORE SIMULATOR FOR MODELING AND ANALYSIS OF SWISS PWRS
270;Gregory;Moffitt;University of Utah;0;MCNPX modeling of the fast neutron beam at the University of Washington
273;Nicholas;Horelik;MIT;12;Benchmark for Evaluation And Validation of Reactor Simulations (BEAVRS)
274;William;Somma;Penn State University;7;THORIUM AS NUCLEAR FUEL: BENEFITS AND DRAWBACKS
323;Matthew;David Verlie;United States Military Academy;4;Optimization of a Delayed Neutron Detector Design
276;Andrew;Franklin;Texas A&M;22;Visualization of RELAP5-3D: Multi-Dimensional Components
278;Sarah;Sarnoski;University of Florida;5;UNIVERSITY OF FLORIDA DIGITAL CONTROLS WORK FORCE TRAINING 
280;Alexander;Zorrilla;University of Florida;2;ANALYSIS OF SKIN DOSE MAPPING FOR A STANDARD FLUOROSCOPY PROCEDURE IN PATIENTS OF VARYING SIZES
282;Tom;Holschuh;Oregon State University;22;Methodology for Strain Gage Adhesion to Test Plates for Measurement During Operations
283;Yiming;Gao;Rensselaer Polytechnic Institute;2;TUBE CURRENT MODULATED COMPUTED TOMOGRAPHY SIMULATION AND DOSE CALCULATION WITH MONTE CARLO METHOD
284;Jason;Young;Purdue University;13;Advances to the Radiation Source Search Toolkit
285;Molly;C. Cook;Georgia Institute of Technology;21;Using Social Media to Brand and Promote a Student Section
286;Branden;Passons;United States Military Academy;0;Compact Production of Novel X-rays as a New Modality for Imaging Soft Tissue
382;Piyatida;Trinuruk;Tokyo Institute of Technology;20;THE APPLICATION OF SIC COATING IN PRISMATIC HTGRS TO PREVENT ACCIDENTS CAUSED BY GRAPHITE OXIDATION
287;Matthew;Wolfson;Pennsylvania State University;7;MCNP-ORIGEN2 OPEN SOURCE INTERFACE
288;Taylor;Lane;Texas A&M University;8;Self-Similar Radiation-Hydrodynamics Solutions in the Equilibrium Diffusion Limit
289;Erika;Suzuki;University of California, Berkeley;17;The Three Stage Proposal
295;Greg;Borza;Pennsylvania State University;7;Recycling of Nuclear Fuel to Improve Resource Utilization and Reduce Waste
296;Jordan;;UC Berkeley;10;Testing Relativistic Time Dilation Using Cosmic-Ray Muons
297;Sierra;Treanor;University of Texas;6;Neutron Activation Analysis as a Preferred Method for Determining Uranium and Thorium Concentrations in Soil
298;hong;jiao;Rensselaer Polytechnic Institute;22;MODELING AND ANALYSIS OF THERMAL PHENOMENA GOVERNING BUBBLE GROWTH AND COLLAPSE IN SUBCOOLED BOILING
299;Peter;Maginot;Texas A&M University;12;Effects of Cross Section Discretization on Pointwise Interaction Rates and Spatial Convergence Rates in Discrete Ordinates DFEM Transport Calculations
302;Stefan;Badza;The Universtiy of Utah;6;NEUTRON ACTIVATION ANALYSIS OF CALIFORNIAN AND JAPANESE RICE 
303;Shawn;Pearson;Idaho State University;7;Spent Fuel Heating System
304;Phillip;Forsberg;Purdue University;12;DATA ENCRYPTION OF RADIATION SIGNALS USING CHAOTIC ARTIFICIAL NEURAL NETWORKS
308;Ethan;Bates;MIT;7;Onset and Stability of Natural Convection in Deep Boreholes
306;Ethan;Bates;MIT;7;RADIOLOGICAL IMPLICATIONS OF EXTENDED STORAGE OF SPENT NUCLEAR FUEL
307;Urairisa;Phathanapirom;The University of Texas at Austin;7;Resource Intensities of the Front End of the Nuclear Fuel Cycle
309;Conor;Dougherty;United States Military Academy;12;Late Cloud Film Analysis: Determining Cloud Rise From Film
311;Sol;Jeong;Hanyang University, Seoul;18;Dose Evaluation in Accidental Release of Tritium Gas with Consideration of Tritiated Water Vapor Oxidized in Soil
313;Dillon;Shaver;RPI;22;MODEL DEVELOPMENT FOR LARGE-SCALE NUCLEAR POWER REACTOR SIMULATIONS
314;Jeff;Webster;Purdue University;4;Demonstrating Tensioned Metastable Fluid Detectors as Gamma-Blind Nuclear Particle Sensors
315;Brian;Waite;Rensselaer Polytechnic Institute;22;Multidimensional Analyis of Local Flow Obstacles in Nuclear Reactors
316;Justin;Mart;Oregon State University;16;Feasibility Study on Soluble Boron-Free Operation in a Prototypical Small Modular Reactor through an Advanced Control Rod Algorithm
325;Derek;West;United States Military Academy;0;Benchmark Rutherford Scattering Experiment Using Pelletron Accelerator
319;Lyman;Owen;University of Utah;10;Automated Layered Spectra Processing
320;Jitesh;Kuntawala;University of Florida;18;Shielding Analysis of University of Florida Nuclear Science Center Due to D-D Neutron Generator
321;David;Frazer;University of California, Berkeley;11;Evaluation of passive layer failure utilizing micro bend bar testing 
322;Harry;Lindner;University of Texas at Austin;7;Cost Updates to Uranium Recovery from Seawater
324;Tim;Garcia;The Ohio State University;4;4H-SiC Schottky diode alpha particle detectors for in-situ pyroprocessing safeguards
327;Jianguo;Zhong;Rensselaer Polytechnic Institute;1;ANALYSIS OF HEAT TRANSFER IN SUPERCRITICAL WATER REACTOR CORE
329;Padhraic;Mulligan;The Ohio State University;4;Fabrication and Characterization Of A Freestanding n-Type GaN Radiation Detector
330;Agnieszka;Czeszumska;UC Berkeley;10;Beta-Delayed Neutron Spectroscopy Using Trapped Ions: Future Plans and Recent Accomplishments
338;David;C. Swan;North Carolina State University;4;Design of a Next-Generation Neutron Multiplicity Counter Independent of Helium-3
333;Lakshana;Huddar;University of California, Berkeley;22;Investigation of Natural Convection Heat Transfer in Fluoride Salts using Simulant Fluids
334;Christopher;Adam Malachosky;United States Military Academy;5;X-Ray Fluorescence Laboratory
335;Trevor;Howard;Oregon State University;22;Computational Fluid Dynamics Analysis of Vortex Shedding Between Inline Plates
336;Christopher;Adam Malachosky;United States Military Academy;13;Optical Flash Blindness
339;Robert;Flanagan;University of Texas Austin;7;Input Visualization for the Cyclus Nuclear Fuel Cycle Simulator
340;Gleb;Kuzmin;University of Texas at Austin;4;Neutron Activation Analysis of Precious Pottery
341;Philip;Lafreniere;University of New Mexico;16;Natural Circulation Cooled, 80 MWt Small Modular PWR
342;Kristofer;Zieb;Oregon State University;9;Optimal PID Tuning in Coupled Flow Rate-Pressure Control System at the Oregon State Hydro-Mechanical Fuel Test Facility
343;Daniel;Hogan;University of California, Berkeley;4;Approaches to detecting coherent neutrino-nucleus scattering with high-purity germanium detectors
348;Haykel;;École Polytechnique de Montréal;20;DRAGON 3D SIMULATION OF SPATIAL SELF-SHIELDING EFFECT IN SAMPLE IRRADIATED IN SLOWPOKE-2 REACTOR
351;Thomas;Eiden;UW-Madison;17;TEidenMIT
403;Nazar;Lubchenko;Massachusetts Institute of Technology;7;THERMAL TRANSIENT MODELING OF A DEEP BOREHOLE REPOSITORY ON A MOOSE FRAMEWORK
356;Jennifer;Jarvis;MIT;11;PWR Water Chemistry Modeling for Hydrogen Pickup in Zircaloy Cladding
357;Min;Yoo;KAIST;15;HARNESS DESIGN FOR THE IMPROVEMENT OF TRANSMITTER SURVIVABILITY IN A SEVERE ACCIDENT
360;Balazs;Bene;University of Nevada, Las Vegas;23;PREPARATIVE SCALE SEPARATION OF NEIGHBORING LANTHANIDES FOR NEUTRON CAPTURE CROSS-SECTION MEASUREMENT
368;Daniel;;University of Utah;6;ANALYSIS OF CITY GROWN BING CHERRY TREES USING NETRON ACTIVATION ANALYSIS
369;Christian;Di Sanzo;University of California, Berkeley;20;"Minimum volume of B&amp;B cores"
370;Tom;;Adams;11;Optimization Of Tritium Source For Betavoltaic Power Sources
371;Jeremy;Roberts;;12;Angular Expansions for the Response Matrix Method 
375;Joseph;Santora;University of Utah;23;Viticulture Improvement Applicable to All Plants
381;Samuel;Brinton;Massachusetts Institute of Technology;17;PROTONS AND POLICY:  THE INTEGRATION OF THE TECHNOLOGY POLICY PROGRAM AND NUCLEAR SCIENCE AND ENGINEERING DEPARTMENTS OF MIT
384;Bryan;Herman;MIT;12;Accelerated Fission Source Convergence of OpenMC using Nonlinear Diffusion Methods
367;Ben;Yee;UC Berkeley;4;Continuous Radiological Air Monitoring with a HPGe Detector
