paper id;First Name;Last Name;Institution;Affiliation;Track;Podium?;title;Follow Up
221;Brian;McDermott;Rensselaer Polytechnic Institute;RPI;14;1;A Detector Array for Measuring Neutron Capture Cross Sections in the keV Region;
222;Aaron P.;Selby;University of Tennessee;UTK;11;0;Comparison of Defect Production by High-Energy Displacement Cascades in Molybdenum, Chromium, and Iron;Title
223;Ross;Barnowski;University of California - Berkeley;Berkeley;4;1;Advances in Real-time Radiation Imaging with the Compact Compton Imager: A Double-sided Strip High Purity Germanium Detector System;
224;Lukas;Schmidt;ETH;ETH;22;1;Investigations of Single Phase Turbulent Mixing with Stable Density Stratification;
225;Joshua;Graves;Oregon State University;ORST;22;1;Top-Down Scaling Analysis of the Integral Reactor Vessel Test Facility;
226;Daniel;Curtis;Massachusetts Institute of Technology;MIT;16;0;Nuclear Shale Oil Development Reactor Arrays and System Effects;
227;Grace;Fischetti;North Carolina State University;NCSU;7;1;Design of a Continuous Pyrochemical Process for Actinide Recovery ;
228;Ryan M.;Bergmann;University of California - Berkeley;Berkeley;12;1;GPU Ray Tracing for Monte Carlo Neutron Transport Using NVIDIA OptiX;
230;Matthew;Wargon;Pennsylvania State University;PSU;20;1;Modeling Of Depletion In Molten Salt Reactors;
231;Paul;Kristo;University of Pittsburgh;Pitt;22;0;Design of a Constant Temperature Anemometer Calibration Procedure for Use with Heated Flows;
233;Matthew;Horkley;Idaho State University;ISU;13;1;Nuclear Proliferation Resistant Aqueous Reprocessing Methods;
234;Diego;Garcia;University of Florida;UF;10;1;Performance Analysis and Fabrication of PARES Based Nuclear Battery for MEMS Application;
235;Justin;Knowles;Purdue University;Purdue;11;1;Defect Diffusion Simulation Through Zirconium Lattice Structure;
236;Mike;Mankosa;Pennsylvania State University;PSU;5;0;Outreach Programs to Accurately Inform the Public About Nuclear Power;
237;Diego;Garcia;University of Florida;UF;5;1;Effective Communication Strategies for Nuclear Engineering Students in Risk Presentation, Media Engagement, and Political Messaging;Title
238;Chris;Antweiler;United States Military Academy;USMA;13;1;Nuclear Forensics: A Way Ahead for the U.S. and the International Community;
240;Jesse;Misner;Idaho State University;ISU;11;1;Analysis of Synchrotron Radiation Diffraction Data on Experiments To Determine Phases and Microstructure of Zirconium Alloy Oxides;Podium??
242;Bo Gyung;Kim;Korea Advanced Institute of Science and Technology;KAIST;9;1;Conceptual Design Suggestion of Operator Support and Automated System for Reducing Human Error in Nuclear Power Plants;Name (Youho)
243;John;Stempien;Massachusetts Institute of Technology;MIT;11;1;Coolant Chemistry and Materials Compatibility in the Fluoride Salt-Cooled High Temperature Reactor (FHR);
244;Jacob;McCallum;Idaho State University;ISU;1;0;Highly Enriched Uranium Reactor Rocket Propulsion System Modeled by MCNP;
245;Ji-hyung;Sim;Hanyang University;Hanyang;11;1;The Characteristics of Fission Gas Release on Metallic Fuels;Podium??
246;Ruirui;Liu;Oregon State University;ORST;18;1;Study on Sampling and Measurement of 210Po in the Waste Stream of Coal-fired Power Plant;
247;HyeonJun;Choi;Hanyang University;Hanyang;18;0;Revisiting Adequacy of the Size of Emergency Planning Zone for Nuclear Power Plants;
248;Alexis;Kaplan;University of Michigan;UMich;13;1;Neutron Detection Threshold and Efficiency Tradeoff in a Nondestructive Spent Fuel Assay Instrument;
249;Aaron;Stout;United States Military Academy;USMA;18;1;Design of a Methodology to Calculate Radiation Protection Factors for Army Equipment Using MCNP;
250;Jedediah;Styron;University of New Mexico;UNM;4;1;Optimization of a Fast Neutron Beryllium/Scintillator Layer Detector Using a Monte Carlo Approach;
251;HangJin;Jo;POSTECH;POSTECH;22;1;Pool Boiling on Hydrophilic and Hydrophobic Nano/Microstructure with Different Wetting Surfaces;
253;Ram A.;Vadlamani;Purdue University;Purdue;22;1;An Experimental Study of Subcooled Choked Flow Through Simulated Steam Generator Tube Cracks;
254;Angela;Weier;University of Wisconsin;WISC;2;1;Calibration and Quality Assurance and Uses of Planar Brachytherapy Sources;
255;Branden;Passons;United States Military Academy;USMA;2;1;One in Eight: A Study on Computer-aided Detection as a Viable Means for Mass Mammography Screenings;
256;Dallin;Steele;Idaho State University;ISU;11;1;Photonic Crystal Design for an In-Pile Real-Time Sensor;
259;David;Woodley;North Carolina State University;NCSU;11;0;High Temperature Test Capsule for Irradiation Experiments in the Pulstar Reactor;
260;David;Frazer;University of California - Berkeley;Berkeley;11;1;Nano/micro Scale Characterization of SiC/SiC Composite Materials;
261;Erica;Quarrick;Pennsylvania State University;PSU;7;0;A PYTHON Pre- and Post-Processing GUI Utility for Generic Repository Thermal Analysis;
262;Steven;Stribling;University of Tennessee;UTK;13;0;A Methodology of Investigating Resources for Illicit Trafficking of Radiological and Nuclear Materials at International Crossings;
263;Hee Eun;Kim;Korea Advanced Institute of Science and Technology;KAIST;15;1;An Approach To Evaluate the Safety Network Communication Reliability;
264;Boris;Hombourger;Paul Scherrer Institute;PSI;7;1;Study of a Closed Thorium-232 Fuel Cycle Molten Salt Reactor Core in Different Spectra;
265;Daniel;Abercrombie;Pennsylvania State University;PSU;20;1;Development of a Deterministic Multi-Group Diffusion Code for a Molten Salt Reactor;
266;Gregory;Moffitt;University of Utah;UTAH;2;1;MCNP5 Based Neutron Source Modeling for BNCT;
267;Aaron;Horwood;United States Military Academy;USMA;19;0;Unmanned Lighter-Than-Air Vehicle For Remote Radiological Survey;Poster??
268;Sandra;Bogetic;Paul Scherrer Institute;PSI;20;1;Comparison of U.S. NRC PARCS Against Studsvik Simulate-3 Core Simulator for Modeling and Analysis of Swiss PWRs;
269;Chris;Antweiler;United States Military Academy;USMA;18;0;Material Optimization of the Dry Cask Storage System: A Comparison of Attenuation Coefficients;
270;Gregory;Moffitt;University of Utah;Utah;0;1;MCNPX Modeling of the Fast Neutron Beam at the University of Washington;
271;Lauren;Ayers;Massachusetts Institute of Technology;MIT;11;0;Evaluating Equipotential Switching Direct Current Potential Drop as an Online Pipe Monitoring Technique;
273;Nicholas;Horelik;Massachusetts Institute of Technology;MIT;12;1;Benchmark for Evaluation And Validation of Reactor Simulations (BEAVRS);
274;William;Somma;Pennsylvania State University;PSU;7;1;Thorium as a Nuclear Fuel: Benefits and Drawbacks;
276;Andrew;Franklin;Texas A&M University;TAMU;22;1;Visualization of RELAP5-3D: Thermal-hydraulic Properties of Multi-Dimensional Components To Study Core Blockage Scenarios;
277;Emory;Brown;University of New Mexico;UNM;16;0;Pre-conceptual Design Concept of a Co-Located Component Testing and Plant Health Optimization Facility for a Commercial FHR;
278;Sarah;Sarnoski;University of Florida;UF;5;1;University of Florida Digital Controls Work Force Training;
279;Hailey;Green;University of Tennessee;UTK;18;0;Studies of Neutron Transport on Lunar Bases;
280;Alexander;Zorrilla;University of Florida;UF;2;1;Analysis of Skin Dose Mapping for a Standard Fluoroscopy Procedure in Patients of Varying Sizes;
281;Sara;Ferry;Massachusetts Institute of Technology;MIT;11;0;Life Prediction of Used Fuel Storage Canister Material;
282;Tom;Holschuh;Oregon State University;ORST;22;1;Methodology for Strain Gage Adhesion To Test Plates for Measurement During Operations;
283;Yiming;Gao;Rensselaer Polytechnic Institute;RPI;2;1;Tube Current Modulated Computed Tomography Simulation and Dose Calculation with Monte Carlo Method;
284;Jason;Young;Purdue University;Purdue;13;1;Advances to the Radiation Source Search Toolkit;
285;Molly C.;Cook;Georgia Institute of Technology;GATECH;21;1;Using Social Media to Brand and Promote a Student Section;
286;Branden;Passons;United States Military Academy;USMA;0;1;Compact Production of Novel X-rays as a New Modality for Imaging Soft Tissue;
287;Matthew;Wolfson;Pennsylvania State University;PSU;7;1;MCNP-ORIGEN2 Open Source Interface;
288;Taylor;Lane;Texas A&M University;TAMU;12;1;Self-Similar Radiation-Hydrodynamics Solutions in the Equilibrium Diffusion Limit;
289;Erika;Suzuki;University of California - Berkeley;Berkeley;17;1;The Three-Stage Proposal: Establishing an International Nuclear Forensics Database;
290;Remy;Devoe;University of Tennessee;UTK;0;0;Characterization of Inorganic Scintillators with Synchrotron Radiation: Cerium Dopant Concentration Non-Uniformity from Czochralski Growth Process;
291;James;Car IV;Virginia Commonwealth University;VCU;11;0;Techniques To Improve the Corrosion Resistance of Metals;
292;Dustin;Langewisch;Massachusetts Institute of Technology;MIT;12;0;Uncertainty Quantification for Computational Multiphase Fluid Dynamics;
293;Nick;Boulton;Oregon State University ;ORST;1;0;Quasi Steady-State Analysis of Mars Hopper Concept;
295;Greg;Borza;Pennsylvania State University;PSU;7;1;Recycling of Nuclear Fuel to Improve Resource Utilization and Reduce Waste;
